dates,number_of_marriage
2023-11-04,21
2020-03-13,20
2012-01-14,15
2016-01-24,12
2023-11-18,9
2014-05-26,10
2022-11-22,22
2021-07-20,14
2015-02-16,19
2018-08-01,12
2017-08-10,19
2022-03-15,11
2023-02-26,13
2013-01-11,14
2023-05-01,20
2012-10-14,10
2014-11-07,14
2013-04-12,15
2020-11-03,11
2019-07-01,16
2015-03-28,14
2013-08-09,12
2013-10-18,14
2015-08-30,16
2022-05-18,18
2016-09-28,18
2014-04-23,11
2021-11-18,24
2014-07-22,24
2016-12-22,19
2020-03-02,15
2019-03-27,12
2022-11-07,13
2020-03-22,15
2023-04-03,20
2021-08-16,13
2012-09-29,11
2016-12-09,16
2014-09-04,18
2012-04-13,9
2014-12-31,17
2017-08-18,13
2015-08-04,16
2016-12-25,16
2022-12-22,21
2017-11-13,15
2018-01-10,9
2019-10-10,15
2019-11-13,10
2013-03-14,18
2018-09-21,12
2020-04-21,9
2019-08-29,19
2017-06-06,10
2013-12-27,26
2014-11-07,15
2017-07-14,17
2021-10-04,18
2023-12-08,15
2019-07-05,16
2013-06-29,17
2017-03-28,16
2021-11-30,10
2018-06-15,11
2023-07-07,12
2019-02-15,16
2018-03-10,19
2022-06-10,12
2016-01-12,16
2017-07-30,12
2022-05-07,17
2012-08-07,13
2022-08-06,13
2018-11-18,15
2023-06-07,17
2019-12-17,28
2020-08-04,10
2022-08-19,15
2017-03-22,9
2023-05-29,16
2017-07-28,19
2020-02-06,14
2014-05-13,13
2012-05-02,14
2017-09-28,15
2019-02-28,11
2022-05-08,14
2016-12-17,18
2016-07-31,9
2015-10-18,17
2012-10-20,10
2014-04-30,13
2016-06-03,20
2014-02-10,18
2017-10-14,20
2018-01-21,15
2022-10-25,23
2012-06-19,22
2019-10-07,18
2012-06-23,20
